광고그룹명	지역키워드	위치사진명	url분류명	url
하남풍산점	하남풍산동	하남 풍산점	고등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EA%B3%A0%EB%93%B1/%ED%95%98%EB%82%A8%ED%92%8D%EC%82%B0%EB%8F%99
			중등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%A4%91%EB%93%B1/%ED%95%98%EB%82%A8%ED%92%8D%EC%82%B0%EB%8F%99
			초등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%B4%88%EB%93%B1/%ED%95%98%EB%82%A8%ED%92%8D%EC%82%B0%EB%8F%99
			수학	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%88%98%ED%95%99/%ED%95%98%EB%82%A8%ED%92%8D%EC%82%B0%EB%8F%99
			영어	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%98%81%EC%96%B4/%ED%95%98%EB%82%A8%ED%92%8D%EC%82%B0%EB%8F%99
			국어	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EA%B5%AD%EC%96%B4/%ED%95%98%EB%82%A8%ED%92%8D%EC%82%B0%EB%8F%99
			과학	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EA%B3%BC%ED%95%99/%ED%95%98%EB%82%A8%ED%92%8D%EC%82%B0%EB%8F%99
			일반	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%9D%BC%EB%B0%98/%ED%95%98%EB%82%A8%ED%92%8D%EC%82%B0%EB%8F%99
하남풍산점	풍산동	하남 풍산점	고등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EA%B3%A0%EB%93%B1/%ED%92%8D%EC%82%B0%EB%8F%99
			중등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%A4%91%EB%93%B1/%ED%92%8D%EC%82%B0%EB%8F%99
			초등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%B4%88%EB%93%B1/%ED%92%8D%EC%82%B0%EB%8F%99
			수학	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%88%98%ED%95%99/%ED%92%8D%EC%82%B0%EB%8F%99
			영어	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%98%81%EC%96%B4/%ED%92%8D%EC%82%B0%EB%8F%99
			국어	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EA%B5%AD%EC%96%B4/%ED%92%8D%EC%82%B0%EB%8F%99
			과학	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EA%B3%BC%ED%95%99/%ED%92%8D%EC%82%B0%EB%8F%99
			일반	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%9D%BC%EB%B0%98/%ED%92%8D%EC%82%B0%EB%8F%99
하남풍산점	덕풍동	하남 풍산점	고등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EA%B3%A0%EB%93%B1/%EB%8D%95%ED%92%8D%EB%8F%99
			중등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%A4%91%EB%93%B1/%EB%8D%95%ED%92%8D%EB%8F%99
			초등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%B4%88%EB%93%B1/%EB%8D%95%ED%92%8D%EB%8F%99
			수학	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%88%98%ED%95%99/%EB%8D%95%ED%92%8D%EB%8F%99
			영어	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%98%81%EC%96%B4/%EB%8D%95%ED%92%8D%EB%8F%99
			국어	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EA%B5%AD%EC%96%B4/%EB%8D%95%ED%92%8D%EB%8F%99
			과학	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EA%B3%BC%ED%95%99/%EB%8D%95%ED%92%8D%EB%8F%99
			일반	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%9D%BC%EB%B0%98/%EB%8D%95%ED%92%8D%EB%8F%99
하남풍산점	덕풍	하남 풍산점	고등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EA%B3%A0%EB%93%B1/%EB%8D%95%ED%92%8D
			중등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%A4%91%EB%93%B1/%EB%8D%95%ED%92%8D
			초등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%B4%88%EB%93%B1/%EB%8D%95%ED%92%8D
			수학	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%88%98%ED%95%99/%EB%8D%95%ED%92%8D
			영어	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%98%81%EC%96%B4/%EB%8D%95%ED%92%8D
			국어	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EA%B5%AD%EC%96%B4/%EB%8D%95%ED%92%8D
			과학	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EA%B3%BC%ED%95%99/%EB%8D%95%ED%92%8D
			일반	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%9D%BC%EB%B0%98/%EB%8D%95%ED%92%8D
사동점	경산사동	사동	고등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EA%B3%A0%EB%93%B1/%EA%B2%BD%EC%82%B0%EC%82%AC%EB%8F%99
			중등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%A4%91%EB%93%B1/%EA%B2%BD%EC%82%B0%EC%82%AC%EB%8F%99
			초등	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%B4%88%EB%93%B1/%EA%B2%BD%EC%82%B0%EC%82%AC%EB%8F%99
			수학	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%88%98%ED%95%99/%EA%B2%BD%EC%82%B0%EC%82%AC%EB%8F%99
			영어	https://wacademy.kr/%EB%8B%B9%EA%B7%BC/%EC%98%81%EC%96%B4/%EA%B2%BD%EC%82%B0%EC%82%AC%EB%8F%99
